mode,sample_idx,evaluation_idx,identifier,option_permutation_idx,option_order,component,layer_start,layer_end,correct_answer,baseline_pred,knockout_pred,baseline_correct,knockout_correct,baseline_pred_source_index,knockout_pred_source_index,n_audio_tokens,n_instruction_tokens,n_question_tokens,n_options_tokens,n_other_text_tokens,n_input_tokens,baseline_logit_A,knockout_logit_A,delta_logit_A,baseline_prob_A,knockout_prob_A,delta_prob_A,baseline_logit_B,knockout_logit_B,delta_logit_B,baseline_prob_B,knockout_prob_B,delta_prob_B,baseline_logit_C,knockout_logit_C,delta_logit_C,baseline_prob_C,knockout_prob_C,delta_prob_C,baseline_logit_D,knockout_logit_D,delta_logit_D,baseline_prob_D,knockout_prob_D,delta_prob_D,delta_prob_correct,delta_logit_correct,delta_prob_baseline_pred,delta_logit_baseline_pred,pred_changed,elapsed_sec_so_far
decision_logits,280,0,q281_617329,0,CBDA,audio,0,2,D,B,B,0,0,1,1,2250,63,5,30,18,2367,23.5,23.5,0.0,0.19159621734101742,0.20978633379821587,0.018190116457198452,24.5,24.375,-0.125,0.5208125159995775,0.5032512531604748,-0.017561262839102643,22.5,22.5,0.0,0.0704843093659757,0.07717607924309332,0.006691769877117615,23.625,23.5,-0.125,0.21710695729342933,0.20978633379821587,-0.007320623495213452,-0.007320623495213452,-0.125,-0.017561262839102643,-0.125,0,3.829
decision_logits,280,0,q281_617329,0,CBDA,audio,2,4,D,B,B,0,0,1,1,2250,63,5,30,18,2367,23.5,23.5,0.0,0.19159621734101742,0.20978633379821587,0.018190116457198452,24.5,24.375,-0.125,0.5208125159995775,0.5032512531604748,-0.017561262839102643,22.5,22.5,0.0,0.0704843093659757,0.07717607924309332,0.006691769877117615,23.625,23.5,-0.125,0.21710695729342933,0.20978633379821587,-0.007320623495213452,-0.007320623495213452,-0.125,-0.017561262839102643,-0.125,0,4.692
decision_logits,280,0,q281_617329,0,CBDA,audio,4,6,D,B,B,0,0,1,1,2250,63,5,30,18,2367,23.5,23.5,0.0,0.19159621734101742,0.20978633379821587,0.018190116457198452,24.5,24.375,-0.125,0.5208125159995775,0.5032512531604748,-0.017561262839102643,22.5,22.5,0.0,0.0704843093659757,0.07717607924309332,0.006691769877117615,23.625,23.5,-0.125,0.21710695729342933,0.20978633379821587,-0.007320623495213452,-0.007320623495213452,-0.125,-0.017561262839102643,-0.125,0,5.555
decision_logits,280,0,q281_617329,0,CBDA,audio,6,8,D,B,B,0,0,1,1,2250,63,5,30,18,2367,23.5,23.5,0.0,0.19159621734101742,0.19159621734101742,0.0,24.5,24.5,0.0,0.5208125159995775,0.5208125159995775,0.0,22.5,22.5,0.0,0.0704843093659757,0.0704843093659757,0.0,23.625,23.625,0.0,0.21710695729342933,0.21710695729342933,0.0,0.0,0.0,0.0,0.0,0,6.416
decision_logits,280,0,q281_617329,0,CBDA,audio,8,10,D,B,B,0,0,1,1,2250,63,5,30,18,2367,23.5,23.375,-0.125,0.19159621734101742,0.20978633379821587,0.018190116457198452,24.5,24.25,-0.25,0.5208125159995775,0.5032512531604748,-0.017561262839102643,22.5,22.375,-0.125,0.0704843093659757,0.07717607924309332,0.006691769877117615,23.625,23.375,-0.25,0.21710695729342933,0.20978633379821587,-0.007320623495213452,-0.007320623495213452,-0.25,-0.017561262839102643,-0.25,0,7.282
decision_logits,280,0,q281_617329,0,CBDA,audio,10,12,D,B,B,0,0,1,1,2250,63,5,30,18,2367,23.5,23.5,0.0,0.19159621734101742,0.204085664877444,0.012489447536426584,24.5,24.375,-0.125,0.5208125159995775,0.4895760593273491,-0.031236456672228352,22.5,22.5,0.0,0.0704843093659757,0.07507892034621635,0.0045946109802406515,23.625,23.625,0.0,0.21710695729342933,0.2312593554489904,0.014152398155561074,0.014152398155561074,0.0,-0.031236456672228352,-0.125,0,8.148
decision_logits,280,0,q281_617329,0,CBDA,audio,12,14,D,B,B,0,0,1,1,2250,63,5,30,18,2367,23.5,23.5,0.0,0.19159621734101742,0.204085664877444,0.012489447536426584,24.5,24.375,-0.125,0.5208125159995775,0.4895760593273491,-0.031236456672228352,22.5,22.5,0.0,0.0704843093659757,0.07507892034621635,0.0045946109802406515,23.625,23.625,0.0,0.21710695729342933,0.2312593554489904,0.014152398155561074,0.014152398155561074,0.0,-0.031236456672228352,-0.125,0,9.012
decision_logits,280,0,q281_617329,0,CBDA,audio,14,16,D,B,B,0,0,1,1,2250,63,5,30,18,2367,23.5,23.5,0.0,0.19159621734101742,0.204085664877444,0.012489447536426584,24.5,24.375,-0.125,0.5208125159995775,0.4895760593273491,-0.031236456672228352,22.5,22.5,0.0,0.0704843093659757,0.07507892034621635,0.0045946109802406515,23.625,23.625,0.0,0.21710695729342933,0.2312593554489904,0.014152398155561074,0.014152398155561074,0.0,-0.031236456672228352,-0.125,0,9.871
decision_logits,280,0,q281_617329,0,CBDA,audio,16,18,D,B,B,0,0,1,1,2250,63,5,30,18,2367,23.5,23.5,0.0,0.19159621734101742,0.20978633379821587,0.018190116457198452,24.5,24.375,-0.125,0.5208125159995775,0.5032512531604748,-0.017561262839102643,22.5,22.5,0.0,0.0704843093659757,0.07717607924309332,0.006691769877117615,23.625,23.5,-0.125,0.21710695729342933,0.20978633379821587,-0.007320623495213452,-0.007320623495213452,-0.125,-0.017561262839102643,-0.125,0,10.734
decision_logits,280,0,q281_617329,0,CBDA,audio,18,20,D,B,B,0,0,1,1,2250,63,5,30,18,2367,23.5,23.5,0.0,0.19159621734101742,0.20978633379821587,0.018190116457198452,24.5,24.375,-0.125,0.5208125159995775,0.5032512531604748,-0.017561262839102643,22.5,22.5,0.0,0.0704843093659757,0.07717607924309332,0.006691769877117615,23.625,23.5,-0.125,0.21710695729342933,0.20978633379821587,-0.007320623495213452,-0.007320623495213452,-0.125,-0.017561262839102643,-0.125,0,11.596
